metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
1,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,BIL LING,BL,Positive,Billing Section Visits,,,,,Apple iOS_BL_1,,1,1,1.0,1,3,,2025-01-28
2,DR_Billing Make a Payment,Make Payments,Apple iOS,BIL LING,BL,Positive,,Make Payments,,,,Apple iOS_BL_1.1,Apple iOS_BL_1,2,2,2.0,1,3,1.0,2025-01-28
3,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,BIL LING,BL,Negative,,,Client Errors on Payment Page,,,Apple iOS_BL_1.1.1,Apple iOS_BL_1.1,3,3,3.0,1,3,2.0,2025-01-28
4,DR_Server Errors on Make Payment,Server Errors on Payment Page,Apple iOS,BIL LING,BL,Negative,,,Server Errors on Payment Page,,,Apple iOS_BL_1.1.2,Apple iOS_BL_1.1,4,4,3.0,1,3,2.0,2025-01-28
5,DR_Payment Submit,Payment Submit,Apple iOS,BIL LING,BL,Positive,,Payment Submit,,,,Apple iOS_BL_1.2,Apple iOS_BL_1,5,5,2.0,1,3,1.0,2025-01-28
6,DR_Payments,Payment Success Rate,Apple iOS,BIL LING,BL,Positive,,,Payment Success Rate,,,Apple iOS_BL_1.2.1,Apple iOS_BL_1.2,6,6,3.0,1,3,5.0,2025-01-28
7,DR_Promise to Pay,Promise to Pay - Linkout,Apple iOS,BIL LING,BL,Positive,,Promise to Pay - Linkout,,,,Apple iOS_BL_1.3,Apple iOS_BL_1,7,7,2.0,1,3,1.0,2025-01-28
8,DR_Promise to Pay (Native),Promise to Pay - Native,Apple iOS,BIL LING,BL,Positive,,Promise to Pay - Native,,,,Apple iOS_BL_1.4,Apple iOS_BL_1,8,8,2.0,1,3,1.0,2025-01-28
9,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Apple iOS,BIL LING,BL,Positive,,,Additional time to pay - Linkout,,,Apple iOS_BL_1.4.1,Apple iOS_BL_1.4,9,9,3.0,1,3,8.0,2025-01-28
10,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Apple iOS,BIL LING,BL,Positive,,,Future date payment - Linkout,,,Apple iOS_BL_1.4.2,Apple iOS_BL_1.4,10,10,3.0,1,3,8.0,2025-01-28
11,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,BIL LING,BL,Positive,,Bill Downloads,,,,Apple iOS_BL_1.5,Apple iOS_BL_1,11,11,2.0,1,3,1.0,2025-01-28
12,DR_Billing - Activity & Statements,Activity & Statements,Apple iOS,BIL LING,BL,Positive,,Activity & Statements,,,,Apple iOS_BL_1.6,Apple iOS_BL_1,12,12,2.0,1,3,1.0,2025-01-28
13,DR_Billing - Automatic Payments,Easy Pay Enrollments,Apple iOS,BIL LING,BL,Positive,,Easy Pay Enrollments,,,,Apple iOS_BL_1.7,Apple iOS_BL_1,13,13,2.0,1,3,1.0,2025-01-28
14,DR_Billing - Manage Payment Methods,Payment Method Changes,Apple iOS,BIL LING,BL,Positive,,Payment Method Changes,,,,Apple iOS_BL_1.8,Apple iOS_BL_1,14,14,2.0,1,3,1.0,2025-01-28
15,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,BIL LING,BL,Positive,,Agreement & Discounts,,,,Apple iOS_BL_1.9,Apple iOS_BL_1,15,15,2.0,1,3,1.0,2025-01-28
16,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,BIL LING,BL,Positive,,Bill Delivery Options,,,,Apple iOS_BL_1.10,Apple iOS_BL_1,16,16,2.0,1,3,1.0,2025-01-28
17,DR_Billing - Edit Billing Address,Address Changes,Apple iOS,BIL LING,BL,Positive,,Address Changes,,,,Apple iOS_BL_1.11,Apple iOS_BL_1,17,17,2.0,1,3,1.0,2025-01-28
18,DR_Billing - Move My Service,Move Service,Apple iOS,BIL LING,BL,Positive,,Move Service,,,,Apple iOS_BL_1.12,Apple iOS_BL_1,18,18,2.0,1,3,1.0,2025-01-28
19,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,BIL LING,BL,Negative,,Billing_Interacted with chat,,,,Apple iOS_BL_1.13,Apple iOS_BL_1,19,19,2.0,1,3,1.0,2025-01-28
20,DR_Wireless Service,Visits from 'Cox Mobile' users,Apple iOS,COX MOBILE,CM,Positive,Visits from 'Cox Mobile' users,,,,,Apple iOS_CM_1,,20,1,1.0,2,13,,2025-01-28
21,DR_Mymobile HomePage Visits,Coxmob Line Detail Page,Apple iOS,COX MOBILE,CM,Positive,,Coxmob Line Detail Page,,,,Apple iOS_CM_1.1,Apple iOS_CM_1,21,2,2.0,2,13,20.0,2025-01-28
22,DR_Mobile Lock Enabled,,Apple iOS,COX MOBILE,CM,,,,,,,,,22,3,1.0,2,13,,2025-01-28
23,DR_Mobile Lock Disabled,,Apple iOS,COX MOBILE,CM,,,,,,,,,23,4,1.0,2,13,,2025-01-28
24,DR_Change Status Exit link,Coxmob Change Status External Link,Apple iOS,COX MOBILE,CM,Positive,,,Coxmob Change Status External Link,,,Apple iOS_CM_1.1.1,Apple iOS_CM_1.1,24,5,3.0,2,13,21.0,2025-01-28
25,DR_Add a Line,Coxmob Add a Line,Apple iOS,COX MOBILE,CM,Positive,,,Coxmob Add a Line,,,Apple iOS_CM_1.1.2,Apple iOS_CM_1.1,25,6,3.0,2,13,21.0,2025-01-28
26,DR_Change your Plan,Coxmob Change  Plan - linkout,Apple iOS,COX MOBILE,CM,,,,Coxmob Change  Plan - linkout,,,Apple iOS_CM_1.1.3,Apple iOS_CM_1.1,26,7,3.0,2,13,21.0,2025-01-28
27,DR_Change Plan - New,Coxmob Change Plan - Native,Apple iOS,COX MOBILE,CM,Positive,,,Coxmob Change Plan - Native,,,Apple iOS_CM_1.1.4,Apple iOS_CM_1.1,27,8,3.0,2,13,21.0,2025-01-28
28,DR_Change plan - Account Restrictions,Coxmob Account Restrictions,Apple iOS,COX MOBILE,CM,Negative,,,,Coxmob Account Restrictions,,Apple iOS_CM_1.1.4.1,Apple iOS_CM_1.1.4,28,9,4.0,2,13,27.0,2025-01-28
29,DR_Change plan Confirmation,Coxmob Plan Purchased,Apple iOS,COX MOBILE,CM,Positive,,,,Coxmob Plan Purchased,,Apple iOS_CM_1.1.4.2,Apple iOS_CM_1.1.4,29,10,4.0,2,13,27.0,2025-01-28
30,DR_Change Plan - Pay as Gig,Coxmob Gig Plan,Apple iOS,COX MOBILE,CM,Positive,,,,,Coxmob Gig Plan,Apple iOS_CM_1.1.4.2.1,Apple iOS_CM_1.1.4.2,30,11,5.0,2,13,29.0,2025-01-28
31,DR_Change Plan - Unlimited,Coxmob Unlimited Plan,Apple iOS,COX MOBILE,CM,Positive,,,,,Coxmob Unlimited Plan,Apple iOS_CM_1.1.4.2.2,Apple iOS_CM_1.1.4.2,31,12,5.0,2,13,29.0,2025-01-28
32,DR_Welcome Guide,Coxmob Welcome Guide,Apple iOS,COX MOBILE,CM,Positive,,,Coxmob Welcome Guide,,,Apple iOS_CM_1.1.5,Apple iOS_CM_1.1,32,13,3.0,2,13,21.0,2025-01-28
33,DR_Device Payment Plan,Coxmob Device Payment Plan,Apple iOS,COX MOBILE,CM,Positive,,,Coxmob Device Payment Plan,,,Apple iOS_CM_1.1.6,Apple iOS_CM_1.1,33,14,3.0,2,13,21.0,2025-01-28
34,DR_Insurance Claim,File a Claim,Apple iOS,COX MOBILE,CM,Negative,,,File a Claim,,,Apple iOS_CM_1.1.7,Apple iOS_CM_1.1,34,15,3.0,2,13,21.0,2025-01-28
35,DR_Opted for Pay as you Gig Plan,Coxmob Pay as you Gig,Apple iOS,COX MOBILE,CM,Positive,,Coxmob Pay as you Gig,,,,Apple iOS_CM_1.2,Apple iOS_CM_1,35,16,2.0,2,13,20.0,2025-01-28
36,DR_Opted for Gig Unlimited Plan,Coxmob Gig Unlimited Plan,Apple iOS,COX MOBILE,CM,Positive,,Coxmob Gig Unlimited Plan,,,,Apple iOS_CM_1.3,Apple iOS_CM_1,36,17,2.0,2,13,20.0,2025-01-28
37,DR_Mobile Billing Home,Coxmob Billing Home,Apple iOS,COX MOBILE,CM,Positive,,Coxmob Billing Home,,,,Apple iOS_CM_1.4,Apple iOS_CM_1,37,18,2.0,2,13,20.0,2025-01-28
38,DR_Mobile Billing - Additional Payment,Coxmob Make Additional Payment,Apple iOS,COX MOBILE,CM,Positive,,Coxmob Make Additional Payment,,,,Apple iOS_CM_1.5,Apple iOS_CM_1,38,19,2.0,2,13,20.0,2025-01-28
